nama,nip,satker,jabatan,kinerja,kompetensi,standar level,nilai,gap,aspek,feedback_terakhir,saran_pengembangan,is_dummy
dummy 1,null,null,null,baik,pengembangan diri dan orang lain,5,3,-2,pengetahuan,tidak efektif,sarasehan,1
dummy 1,null,null,null,baik,pengembangan diri dan orang lain,5,3,-2,keahlian,sangat efektif,pelatihan komunikasi strategis,1
dummy 1,null,null,null,baik,pengembangan diri dan orang lain,5,3,-2,personal atribute,kurang efektif,umpan balik,1
dummy 1,null,null,null,baik,perekat bangsa,5,3,-2,pengetahuan,efektif,e-learning,1
dummy 1,null,null,null,baik,perekat bangsa,5,3,-2,keahlian,sangat efektif,penugasan ,1
dummy 1,null,null,null,baik,perekat bangsa,5,3,-2,personal atribute,efektif,umpan balik,1
dummy 1,null,null,null,baik,mengelola perubahan,5,3,-2,pengetahuan,efektif,pelatihan lemhannas,1
dummy 1,null,null,null,baik,mengelola perubahan,5,3,-2,keahlian,kurang efektif,studi kasus,1
dummy 1,null,null,null,baik,mengelola perubahan,5,3,-2,personal atribute,efektif,pembelajaran alam terbuka,1
dummy 2,null,null,null,baik,integritas,5,2,-3,pengetahuan,kurang efektif,sosialisasi,1
dummy 2,null,null,null,baik,integritas,5,2,-3,keahlian,efektif,penugasan khusus,1
dummy 2,null,null,null,baik,integritas,5,2,-3,personal atribute,sangat efektif,umpan balik,1
dummy 2,null,null,null,baik,kerjasama,5,2,-3,pengetahuan,efektif,pelatihan teknis,1
dummy 2,null,null,null,baik,kerjasama,5,2,-3,keahlian,kurang efektif,coaching,1
dummy 2,null,null,null,baik,kerjasama,5,2,-3,personal atribute,efektif,pembelajaran alam terbuka,1
dummy 2,null,null,null,baik,komunikasi,5,2,-3,pengetahuan,efektif,lokakarya,1
dummy 2,null,null,null,baik,komunikasi,5,2,-3,keahlian,sangat efektif,bimbingan teknis,1
dummy 2,null,null,null,baik,komunikasi,5,2,-3,personal atribute,kurang efektif,konseling,1
dummy 2,null,null,null,baik,orientasi pada hasil,5,2,-3,pengetahuan,efektif,e-learning,1
dummy 2,null,null,null,baik,orientasi pada hasil,5,2,-3,keahlian,efektif,pertukaran pegawai,1
dummy 2,null,null,null,baik,orientasi pada hasil,5,2,-3,personal atribute,efektif,umpan balik,1
dummy 2,null,null,null,baik,pelayanan publik,5,2,-3,pengetahuan,sangat efektif,sarasehan,1
dummy 2,null,null,null,baik,pelayanan publik,5,2,-3,keahlian,tidak efektif,magang,1
dummy 2,null,null,null,baik,pelayanan publik,5,2,-3,personal atribute,efektif,pembelajaran alam terbuka,1
dummy 2,null,null,null,baik,pengambilan keputusan,5,2,-3,pengetahuan,tidak efektif,seminar nasional,1
dummy 2,null,null,null,baik,pengambilan keputusan,5,2,-3,keahlian,efektif,penugasan,1
dummy 2,null,null,null,baik,pengambilan keputusan,5,2,-3,personal atribute,sangat efektif,konseling,1
dummy 2,null,null,null,baik,pengembangan diri dan orang lain,5,2,-3,pengetahuan,efektif,patok banding,1
dummy 2,null,null,null,baik,pengembangan diri dan orang lain,5,2,-3,keahlian,tidak efektif,mentoring,1
dummy 2,null,null,null,baik,pengembangan diri dan orang lain,5,2,-3,personal atribute,efektif,konseling,1
dummy 2,null,null,null,baik,perekat bangsa,5,2,-3,pengetahuan,sangat efektif,pengembangan mandiri,1
dummy 2,null,null,null,baik,perekat bangsa,5,2,-3,keahlian,kurang efektif,studi kasus,1
dummy 2,null,null,null,baik,perekat bangsa,5,2,-3,personal atribute,kurang efektif,pembelajaran alam terbuka,1
dummy 2,null,null,null,baik,mengelola perubahan,5,2,-3,pengetahuan,tidak efektif,komunitas belajar,1
dummy 2,null,null,null,baik,mengelola perubahan,5,2,-3,keahlian,efektif,coaching,1
dummy 2,null,null,null,baik,mengelola perubahan,5,2,-3,personal atribute,efektif,umpan balik,1
dummy 3,null,null,null,baik,integritas,5,1,-4,pengetahuan,efektif,pelatihan kedisiplinan,1
dummy 3,null,null,null,baik,integritas,5,1,-4,keahlian,sangat efektif,bimbingan teknis,1
dummy 3,null,null,null,baik,integritas,5,1,-4,personal atribute,efektif,konseling,1
dummy 3,null,null,null,baik,kerjasama,5,1,-4,pengetahuan,sangat efektif,sharing session,1
dummy 3,null,null,null,baik,kerjasama,5,1,-4,keahlian,efektif,bimbingan teknis,1
dummy 3,null,null,null,baik,kerjasama,5,1,-4,personal atribute,tidak efektif,pembelajaran alam terbuka,1
dummy 3,null,null,null,baik,komunikasi,5,1,-4,pengetahuan,sangat efektif,kursus,1
dummy 3,null,null,null,baik,komunikasi,5,1,-4,keahlian,tidak efektif,coaching,1
dummy 3,null,null,null,baik,komunikasi,5,1,-4,personal atribute,efektif,umpan balik,1
dummy 3,null,null,null,baik,orientasi pada hasil,5,1,-4,pengetahuan,efektif,pelatihan lemhannas,1
dummy 3,null,null,null,baik,orientasi pada hasil,5,1,-4,keahlian,sangat efektif,penugasan,1
dummy 3,null,null,null,baik,orientasi pada hasil,5,1,-4,personal atribute,sangat efektif,konseling,1
dummy 3,null,null,null,baik,pelayanan publik,5,1,-4,pengetahuan,kurang efektif,komunitas belajar,1
dummy 3,null,null,null,baik,pelayanan publik,5,1,-4,keahlian,efektif,pertukaran pegawai,1
dummy 3,null,null,null,baik,pelayanan publik,5,1,-4,personal atribute,efektif,umpan balik,1
dummy 3,null,null,null,baik,pengambilan keputusan,5,1,-4,pengetahuan,sangat efektif,e-learning,1
dummy 3,null,null,null,baik,pengambilan keputusan,5,1,-4,keahlian,kurang efektif,studi kasus,1
dummy 3,null,null,null,baik,pengambilan keputusan,5,1,-4,personal atribute,efektif,konseling,1
dummy 3,null,null,null,baik,pengembangan diri dan orang lain,5,1,-4,pengetahuan,efektif,bimbingan di tempat kerja,1
dummy 3,null,null,null,baik,pengembangan diri dan orang lain,5,1,-4,keahlian,sangat efektif,pelatihan komunikasi efektif,1
dummy 3,null,null,null,baik,pengembangan diri dan orang lain,5,1,-4,personal atribute,efektif,umpan balik,1
dummy 3,null,null,null,baik,perekat bangsa,5,1,-4,pengetahuan,tidak efektif,sarasehan,1
dummy 3,null,null,null,baik,perekat bangsa,5,1,-4,keahlian,efektif,coaching,1
dummy 3,null,null,null,baik,perekat bangsa,5,1,-4,personal atribute,efektif,pembelajaran alam terbuka,1
dummy 3,null,null,null,baik,mengelola perubahan,5,1,-4,pengetahuan,efektif,sosialisasi,1
dummy 3,null,null,null,baik,mengelola perubahan,5,1,-4,keahlian,sangat efektif,pertukaran pegawai,1
dummy 3,null,null,null,baik,mengelola perubahan,5,1,-4,personal atribute,kurang efektif,konseling,1
dummy 4,null,null,null,baik,integritas,5,3,-2,pengetahuan,efektif,e-learning,1
dummy 4,null,null,null,baik,integritas,5,3,-2,keahlian,efektif,menjadi narasumber,1
dummy 4,null,null,null,baik,integritas,5,3,-2,personal atribute,efektif,umpan balik,1
dummy 4,null,null,null,baik,kerjasama,5,3,-2,pengetahuan,kurang efektif,sharing session,1
dummy 4,null,null,null,baik,kerjasama,5,3,-2,keahlian,efektif,coaching,1
dummy 4,null,null,null,baik,kerjasama,5,3,-2,personal atribute,tidak efektif,pembelajaran alam terbuka,1
dummy 4,null,null,null,baik,komunikasi,5,3,-2,pengetahuan,efektif,pelatihan lemhannas,1
dummy 4,null,null,null,baik,komunikasi,5,3,-2,keahlian,kurang efektif,coaching,1
dummy 4,null,null,null,baik,komunikasi,5,3,-2,personal atribute,sangat efektif,konseling,1
dummy 4,null,null,null,baik,orientasi pada hasil,5,3,-2,pengetahuan,tidak efektif,patok banding,1
dummy 4,null,null,null,baik,orientasi pada hasil,5,3,-2,keahlian,efektif,pertukaran pegawai,1
dummy 4,null,null,null,baik,orientasi pada hasil,5,3,-2,personal atribute,efektif,konseling,1
dummy 4,null,null,null,baik,pelayanan publik,5,3,-2,pengetahuan,efektif,e-learning,1
dummy 4,null,null,null,baik,pelayanan publik,5,3,-2,keahlian,efektif,studi kasus,1
dummy 4,null,null,null,baik,pelayanan publik,5,3,-2,personal atribute,tidak efektif,umpan balik,1
dummy 4,null,null,null,baik,pengambilan keputusan,5,3,-2,pengetahuan,efektif,konferensi nasional,1
dummy 4,null,null,null,baik,pengambilan keputusan,5,3,-2,keahlian,efektif,coaching,1
dummy 4,null,null,null,baik,pengambilan keputusan,5,3,-2,personal atribute,efektif,konseling,1
dummy 4,null,null,null,baik,pengembangan diri dan orang lain,5,3,-2,pengetahuan,efektif,sarasehan,1
dummy 4,null,null,null,baik,pengembangan diri dan orang lain,5,3,-2,keahlian,kurang efektif,penugasan,1
dummy 4,null,null,null,baik,pengembangan diri dan orang lain,5,3,-2,personal atribute,efektif,umpan balik,1
dummy 4,null,null,null,baik,perekat bangsa,5,3,-2,pengetahuan,sangat efektif,lokakarya,1
dummy 4,null,null,null,baik,perekat bangsa,5,3,-2,keahlian,kurang efektif,coaching,1
dummy 4,null,null,null,baik,perekat bangsa,5,3,-2,personal atribute,tidak efektif,pembelajaran alam terbuka,1
dummy 4,null,null,null,baik,mengelola perubahan,5,3,-2,pengetahuan,sangat efektif,seminar nasional,1
dummy 4,null,null,null,baik,mengelola perubahan,5,3,-2,keahlian,efektif,coaching,1
dummy 4,null,null,null,baik,mengelola perubahan,5,3,-2,personal atribute,sangat efektif,umpan balik,1
dummy 5,null,null,null,baik,integritas,5,2,-3,pengetahuan,efektif,pelatihan kedisiplinan,1
dummy 5,null,null,null,baik,integritas,5,2,-3,keahlian,efektif,menjadi narasumber,1
dummy 5,null,null,null,baik,integritas,5,2,-3,personal atribute,efektif,konseling,1
dummy 5,null,null,null,baik,kerjasama,5,2,-3,pengetahuan,sangat efektif,seminar,1
dummy 5,null,null,null,baik,kerjasama,5,2,-3,keahlian,efektif,penugasan,1
dummy 5,null,null,null,baik,kerjasama,5,2,-3,personal atribute,kurang efektif,konseling,1
dummy 5,null,null,null,baik,komunikasi,5,2,-3,pengetahuan,sangat efektif,pelatihan lemhannas,1
dummy 5,null,null,null,baik,komunikasi,5,2,-3,keahlian,kurang efektif,bimbingan teknis,1
dummy 5,null,null,null,baik,komunikasi,5,2,-3,personal atribute,efektif,umpan balik,1
dummy 5,null,null,null,baik,orientasi pada hasil,5,2,-3,pengetahuan,kurang efektif,workshop,1
dummy 5,null,null,null,baik,orientasi pada hasil,5,2,-3,keahlian,tidak efektif,coaching,1
dummy 5,null,null,null,baik,orientasi pada hasil,5,2,-3,personal atribute,sangat efektif,umpan balik,1
dummy 5,null,null,null,baik,pelayanan publik,5,2,-3,pengetahuan,efektif,patok banding,1
dummy 5,null,null,null,baik,pelayanan publik,5,2,-3,keahlian,kurang efektif,pertukaran pegawai,1
dummy 5,null,null,null,baik,pelayanan publik,5,2,-3,personal atribute,efektif,konseling,1
dummy 5,null,null,null,baik,pengambilan keputusan,5,2,-3,pengetahuan,kurang efektif,seminar nasional,1
dummy 5,null,null,null,baik,pengambilan keputusan,5,2,-3,keahlian,sangat efektif,coaching,1
dummy 5,null,null,null,baik,pengambilan keputusan,5,2,-3,personal atribute,efektif,penugasan,1
dummy 5,null,null,null,baik,pengembangan diri dan orang lain,5,2,-3,pengetahuan,efektif,e-learning,1
dummy 5,null,null,null,baik,pengembangan diri dan orang lain,5,2,-3,keahlian,kurang efektif,pelatihan komunikasi efektif,1
dummy 5,null,null,null,baik,pengembangan diri dan orang lain,5,2,-3,personal atribute,sangat efektif,umpan balik,1
dummy 5,null,null,null,baik,perekat bangsa,5,2,-3,pengetahuan,efektif,lokakarya,1
dummy 5,null,null,null,baik,perekat bangsa,5,2,-3,keahlian,tidak efektif,magang,1
dummy 5,null,null,null,baik,perekat bangsa,5,2,-3,personal atribute,efektif,umpan balik,1
dummy 5,null,null,null,baik,mengelola perubahan,5,2,-3,pengetahuan,sangat efektif,workshop,1
dummy 5,null,null,null,baik,mengelola perubahan,5,2,-3,keahlian,kurang efektif,studi kasus,1
dummy 5,null,null,null,baik,mengelola perubahan,5,2,-3,personal atribute,kurang efektif,konseling,1
dummy 6,null,null,null,baik,integritas,5,1,-4,pengetahuan,sangat efektif,seminar nasional,1
dummy 6,null,null,null,baik,integritas,5,1,-4,keahlian,tidak efektif,coaching,1
dummy 6,null,null,null,baik,integritas,5,1,-4,personal atribute,kurang efektif,umpan balik,1
dummy 6,null,null,null,baik,kerjasama,5,1,-4,pengetahuan,efektif,patok banding,1
dummy 6,null,null,null,baik,kerjasama,5,1,-4,keahlian,tidak efektif,penugasan,1
dummy 6,null,null,null,baik,kerjasama,5,1,-4,personal atribute,efektif,konseling,1
dummy 6,null,null,null,baik,komunikasi,5,1,-4,pengetahuan,efektif,pelatihan lemhannas,1
dummy 6,null,null,null,baik,komunikasi,5,1,-4,keahlian,efektif,bimbingan teknis,1
dummy 6,null,null,null,baik,komunikasi,5,1,-4,personal atribute,kurang efektif,konseling,1
dummy 6,null,null,null,baik,orientasi pada hasil,5,1,-4,pengetahuan,efektif,e-learning,1
dummy 6,null,null,null,baik,orientasi pada hasil,5,1,-4,keahlian,tidak efektif,magang,1
dummy 6,null,null,null,baik,orientasi pada hasil,5,1,-4,personal atribute,efektif,umpan balik,1
dummy 6,null,null,null,baik,pelayanan publik,5,1,-4,pengetahuan,efektif,pelatihan nasional,1
dummy 6,null,null,null,baik,pelayanan publik,5,1,-4,keahlian,sangat efektif,coaching,1
dummy 6,null,null,null,baik,pelayanan publik,5,1,-4,personal atribute,kurang efektif,umpan balik,1
dummy 6,null,null,null,baik,pengambilan keputusan,5,1,-4,pengetahuan,tidak efektif,pelatihan teknis,1
dummy 6,null,null,null,baik,pengambilan keputusan,5,1,-4,keahlian,tidak efektif,coaching,1
dummy 6,null,null,null,baik,pengambilan keputusan,5,1,-4,personal atribute,tidak efektif,umpan balik,1
dummy 6,null,null,null,baik,pengembangan diri dan orang lain,5,1,-4,pengetahuan,sangat efektif,pelatihan coaching,1
dummy 6,null,null,null,baik,pengembangan diri dan orang lain,5,1,-4,keahlian,tidak efektif,penugasan,1
dummy 6,null,null,null,baik,pengembangan diri dan orang lain,5,1,-4,personal atribute,efektif,pembelajaran alam terbuka,1
dummy 6,null,null,null,baik,perekat bangsa,5,1,-4,pengetahuan,efektif,seminar nasional,1
dummy 6,null,null,null,baik,perekat bangsa,5,1,-4,keahlian,sangat efektif,magang,1
dummy 6,null,null,null,baik,perekat bangsa,5,1,-4,personal atribute,sangat efektif,konseling,1
dummy 6,null,null,null,baik,mengelola perubahan,5,1,-4,pengetahuan,sangat efektif,kelompok belajar,1
dummy 6,null,null,null,baik,mengelola perubahan,5,1,-4,keahlian,efektif,mentoring,1
dummy 6,null,null,null,baik,mengelola perubahan,5,1,-4,personal atribute,efektif,umpan balik,1
dummy 7,null,null,null,baik,integritas,4,2,-2,pengetahuan,sangat efektif,pelatihan,1
dummy 7,null,null,null,baik,integritas,4,2,-2,keahlian,tidak efektif,bimbingan teknis,1
dummy 7,null,null,null,baik,integritas,4,2,-2,personal atribute,kurang efektif,konseling,1
dummy 7,null,null,null,baik,kerjasama,4,2,-2,pengetahuan,efektif,seminar,1
dummy 7,null,null,null,baik,kerjasama,4,2,-2,keahlian,tidak efektif,penugasan,1
dummy 7,null,null,null,baik,kerjasama,4,2,-2,personal atribute,efektif,pembelajaran alam terbuka,1
dummy 7,null,null,null,baik,komunikasi,4,2,-2,pengetahuan,efektif,pelatihan teknis,1
dummy 7,null,null,null,baik,komunikasi,4,2,-2,keahlian,efektif,penugasan,1
dummy 7,null,null,null,baik,komunikasi,4,2,-2,personal atribute,kurang efektif,umpan balik,1
dummy 7,null,null,null,baik,orientasi pada hasil,4,2,-2,pengetahuan,efektif,workshop,1
dummy 7,null,null,null,baik,orientasi pada hasil,4,2,-2,keahlian,tidak efektif,studi kasus,1
dummy 7,null,null,null,baik,orientasi pada hasil,4,2,-2,personal atribute,efektif,konseling,1
dummy 7,null,null,null,baik,pelayanan publik,4,2,-2,pengetahuan,efektif,sarasehan,1
dummy 7,null,null,null,baik,pelayanan publik,4,2,-2,keahlian,sangat efektif,magang,1
dummy 7,null,null,null,baik,pelayanan publik,4,2,-2,personal atribute,kurang efektif,umpan balik,1
dummy 7,null,null,null,baik,pengambilan keputusan,4,2,-2,pengetahuan,tidak efektif,seminar nasional,1
dummy 7,null,null,null,baik,pengambilan keputusan,4,2,-2,keahlian,tidak efektif,studi kasus,1
dummy 7,null,null,null,baik,pengambilan keputusan,4,2,-2,personal atribute,tidak efektif,umpan balik,1
dummy 7,null,null,null,baik,pengembangan diri dan orang lain,4,2,-2,pengetahuan,sangat efektif,patok banding,1
dummy 7,null,null,null,baik,pengembangan diri dan orang lain,4,2,-2,keahlian,tidak efektif,pelatihan komunikasi strategis,1
dummy 7,null,null,null,baik,pengembangan diri dan orang lain,4,2,-2,personal atribute,efektif,umpan balik,1
dummy 7,null,null,null,baik,perekat bangsa,4,2,-2,pengetahuan,efektif,patok banding,1
dummy 7,null,null,null,baik,perekat bangsa,4,2,-2,keahlian,sangat efektif,pertukaran pegawai,1
dummy 7,null,null,null,baik,perekat bangsa,4,2,-2,personal atribute,sangat efektif,umpan balik,1
dummy 7,null,null,null,baik,mengelola perubahan,4,2,-2,pengetahuan,sangat efektif,pelatihan lemhannas,1
dummy 7,null,null,null,baik,mengelola perubahan,4,2,-2,keahlian,efektif,coaching,1
dummy 7,null,null,null,baik,mengelola perubahan,4,2,-2,personal atribute,efektif,konseling,1
dummy 8,null,null,null,baik,integritas,4,2,-2,pengetahuan,sangat efektif,pelatihan kode etik dan kode perilaku,1
dummy 8,null,null,null,baik,integritas,4,2,-2,keahlian,tidak efektif,penugasan,1
dummy 8,null,null,null,baik,integritas,4,2,-2,personal atribute,kurang efektif,umpan balik,1
dummy 8,null,null,null,baik,kerjasama,4,2,-2,pengetahuan,efektif,sharing session,1
dummy 8,null,null,null,baik,kerjasama,4,2,-2,keahlian,tidak efektif,coaching,1
dummy 8,null,null,null,baik,kerjasama,4,2,-2,personal atribute,efektif,umpan balik,1
dummy 8,null,null,null,baik,komunikasi,4,2,-2,pengetahuan,efektif,pelatihan teknis,1
dummy 8,null,null,null,baik,komunikasi,4,2,-2,keahlian,efektif,bimbingan di tempat kerja,1
dummy 8,null,null,null,baik,komunikasi,4,2,-2,personal atribute,kurang efektif,umpan balik,1
dummy 8,null,null,null,baik,orientasi pada hasil,4,2,-2,pengetahuan,efektif,e-learning,1
dummy 8,null,null,null,baik,orientasi pada hasil,4,2,-2,keahlian,tidak efektif,coaching,1
dummy 8,null,null,null,baik,orientasi pada hasil,4,2,-2,personal atribute,efektif,umpan balik,1
dummy 8,null,null,null,baik,pelayanan publik,4,2,-2,pengetahuan,efektif,pelatihan nasional,1
dummy 8,null,null,null,baik,pelayanan publik,4,2,-2,keahlian,sangat efektif,pertukaran pegawai,1
dummy 8,null,null,null,baik,pelayanan publik,4,2,-2,personal atribute,kurang efektif,konseling,1
dummy 8,null,null,null,baik,pengambilan keputusan,4,2,-2,pengetahuan,tidak efektif,lokakarya,1
dummy 8,null,null,null,baik,pengambilan keputusan,4,2,-2,keahlian,tidak efektif,penugasan,1
dummy 8,null,null,null,baik,pengambilan keputusan,4,2,-2,personal atribute,tidak efektif,konseling,1
dummy 8,null,null,null,baik,pengembangan diri dan orang lain,4,2,-2,pengetahuan,sangat efektif,pelatihan coaching,1
dummy 8,null,null,null,baik,pengembangan diri dan orang lain,4,2,-2,keahlian,tidak efektif,pelatihan komunikasi efektif,1
dummy 8,null,null,null,baik,pengembangan diri dan orang lain,4,2,-2,personal atribute,efektif,konseling,1
dummy 8,null,null,null,baik,perekat bangsa,4,2,-2,pengetahuan,efektif,komunitas belajar,1
dummy 8,null,null,null,baik,perekat bangsa,4,2,-2,keahlian,sangat efektif,magang,1
dummy 8,null,null,null,baik,perekat bangsa,4,2,-2,personal atribute,sangat efektif,umpan balik,1
dummy 8,null,null,null,baik,mengelola perubahan,4,2,-2,pengetahuan,sangat efektif,seminar,1
dummy 8,null,null,null,baik,mengelola perubahan,4,2,-2,keahlian,efektif,mentoring,1
dummy 8,null,null,null,baik,mengelola perubahan,4,2,-2,personal atribute,efektif,umpan balik,1
dummy 9,null,null,null,baik,integritas,4,1,-3,pengetahuan,sangat efektif,pembelajaran mandiri,1
dummy 9,null,null,null,baik,integritas,4,1,-3,keahlian,tidak efektif,penugasan,1
dummy 9,null,null,null,baik,integritas,4,1,-3,personal atribute,kurang efektif,umpan balik,1
dummy 9,null,null,null,baik,kerjasama,4,1,-3,pengetahuan,efektif,lokakarya,1
dummy 9,null,null,null,baik,kerjasama,4,1,-3,keahlian,tidak efektif,bimbingan teknis,1
dummy 9,null,null,null,baik,kerjasama,4,1,-3,personal atribute,efektif,pembelajaran alam terbuka,1
dummy 9,null,null,null,baik,komunikasi,4,1,-3,pengetahuan,efektif,kursus,1
dummy 9,null,null,null,baik,komunikasi,4,1,-3,keahlian,efektif,bimbingan di tempat kerja,1
dummy 9,null,null,null,baik,komunikasi,4,1,-3,personal atribute,kurang efektif,konseling,1
dummy 9,null,null,null,baik,orientasi pada hasil,4,1,-3,pengetahuan,efektif,komunitas belajar,1
dummy 9,null,null,null,baik,orientasi pada hasil,4,1,-3,keahlian,tidak efektif,magang,1
dummy 9,null,null,null,baik,orientasi pada hasil,4,1,-3,personal atribute,efektif,konseling,1
dummy 9,null,null,null,baik,pelayanan publik,4,1,-3,pengetahuan,efektif,patok banding,1
dummy 9,null,null,null,baik,pelayanan publik,4,1,-3,keahlian,sangat efektif,magang,1
dummy 9,null,null,null,baik,pelayanan publik,4,1,-3,personal atribute,kurang efektif,umpan balik,1
dummy 9,null,null,null,baik,pengambilan keputusan,4,1,-3,pengetahuan,tidak efektif,e-learning,1
dummy 9,null,null,null,baik,pengambilan keputusan,4,1,-3,keahlian,tidak efektif,pelatihan komunikasi efektif,1
dummy 9,null,null,null,baik,pengambilan keputusan,4,1,-3,personal atribute,tidak efektif,umpan balik,1
dummy 9,null,null,null,baik,pengembangan diri dan orang lain,4,1,-3,pengetahuan,sangat efektif,bimbingan di tempat kerja,1
dummy 9,null,null,null,baik,pengembangan diri dan orang lain,4,1,-3,keahlian,tidak efektif,penugasan,1
dummy 9,null,null,null,baik,pengembangan diri dan orang lain,4,1,-3,personal atribute,efektif,pembelajaran alam terbuka,1
dummy 9,null,null,null,baik,perekat bangsa,4,1,-3,pengetahuan,efektif,pengembangan mandiri,1
dummy 9,null,null,null,baik,perekat bangsa,4,1,-3,keahlian,sangat efektif,studi kasus,1
dummy 9,null,null,null,baik,perekat bangsa,4,1,-3,personal atribute,sangat efektif,konseling,1
dummy 9,null,null,null,baik,mengelola perubahan,4,1,-3,pengetahuan,sangat efektif,sosialisasi,1
dummy 9,null,null,null,baik,mengelola perubahan,4,1,-3,keahlian,efektif,mentoring,1
dummy 9,null,null,null,baik,mengelola perubahan,4,1,-3,personal atribute,efektif,umpan balik,1
dummy 10,null,null,null,baik,integritas,4,1,-3,pengetahuan,sangat efektif,patok banding,1
dummy 10,null,null,null,baik,integritas,4,1,-3,keahlian,tidak efektif,bimbingan teknis,1
dummy 10,null,null,null,baik,integritas,4,1,-3,personal atribute,kurang efektif,konseling,1
dummy 10,null,null,null,baik,kerjasama,4,1,-3,pengetahuan,efektif,komunitas belajar,1
dummy 10,null,null,null,baik,kerjasama,4,1,-3,keahlian,tidak efektif,penugasan,1
dummy 10,null,null,null,baik,kerjasama,4,1,-3,personal atribute,efektif,umpan balik,1
dummy 10,null,null,null,baik,komunikasi,4,1,-3,pengetahuan,efektif,pembelajaran mandiri,1
dummy 10,null,null,null,baik,komunikasi,4,1,-3,keahlian,efektif,coaching,1
dummy 10,null,null,null,baik,komunikasi,4,1,-3,personal atribute,kurang efektif,umpan balik,1
dummy 10,null,null,null,baik,orientasi pada hasil,4,1,-3,pengetahuan,efektif,sarasehan,1
dummy 10,null,null,null,baik,orientasi pada hasil,4,1,-3,keahlian,tidak efektif,studi kasus,1
dummy 10,null,null,null,baik,orientasi pada hasil,4,1,-3,personal atribute,efektif,pembelajaran alam terbuka,1
dummy 10,null,null,null,baik,pelayanan publik,4,1,-3,pengetahuan,efektif,workshop,1
dummy 10,null,null,null,baik,pelayanan publik,4,1,-3,keahlian,sangat efektif,studi kasus,1
dummy 10,null,null,null,baik,pelayanan publik,4,1,-3,personal atribute,kurang efektif,konseling,1
dummy 10,null,null,null,baik,pengambilan keputusan,4,1,-3,pengetahuan,tidak efektif,sosialisasi,1
dummy 10,null,null,null,baik,pengambilan keputusan,4,1,-3,keahlian,tidak efektif,studi kasus,1
dummy 10,null,null,null,baik,pengambilan keputusan,4,1,-3,personal atribute,tidak efektif,konseling,1
dummy 10,null,null,null,baik,pengembangan diri dan orang lain,4,1,-3,pengetahuan,sangat efektif,counseling,1
dummy 10,null,null,null,baik,pengembangan diri dan orang lain,4,1,-3,keahlian,tidak efektif,pelatihan komunikasi strategis,1
dummy 10,null,null,null,baik,pengembangan diri dan orang lain,4,1,-3,personal atribute,efektif,umpan balik,1
dummy 10,null,null,null,baik,perekat bangsa,4,1,-3,pengetahuan,efektif,lokakarya,1
dummy 10,null,null,null,baik,perekat bangsa,4,1,-3,keahlian,sangat efektif,magang,1
dummy 10,null,null,null,baik,perekat bangsa,4,1,-3,personal atribute,sangat efektif,konseling,1
dummy 10,null,null,null,baik,mengelola perubahan,4,1,-3,pengetahuan,sangat efektif,pembelajaran mandiri,1
dummy 10,null,null,null,baik,mengelola perubahan,4,1,-3,keahlian,efektif,coaching,1
dummy 10,null,null,null,baik,mengelola perubahan,4,1,-3,personal atribute,efektif,konseling,1
dummy 11,null,null,null,sangat baik,integritas,5,0,-5,pengetahuan,sangat efektif,pembelajaran mandiri,1
dummy 11,null,null,null,sangat baik,integritas,5,0,-5,keahlian,cukup efektif,menjadi narasumber,1
dummy 11,null,null,null,sangat baik,integritas,5,0,-5,personal atribut,sangat efektif,umpan balik,1
